WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Latitude,Longitude,Production
1,15.91,1.67,3.06,14.05,1.36,1.85,36.7402,48.9246,177.381958
2,15.34,1.65,2.6,31.88,1.37,1.79,64.3508,25.9654,1479.767778
3,20.45,2.02,3.13,63.67,1.79,2.53,68.1641,21.9606,4421.221583
4,11.95,1.14,3.9,58.81,0.4,2.03,40.4884,39.7953,1488.317629
5,19.53,1.83,2.57,43.75,1.4,2.11,52.2344,34.0161,5261.094919
6,19.47,2.04,2.73,54.37,1.42,2.12,35.5079,37.0399,5497.005506
7,12.7,1.3,3.7,43.03,0.45,1.95,23.7339,52.657,1784.266285
8,14.15,1.23,2.53,39.43,0.79,1.54,-8.2126,66.4275,1943.639213
9,16.18,1.34,3.45,45.79,0.56,1.95,-10.0,58.3841,3176.523611
10,20.51,2.48,2.78,28.99,1.78,2.24,33.0995,57.1905,2522.792318
11,12.25,1.2,3.64,64.08,0.81,2.44,61.7781,20.9608,1215.676438
12,11.59,1.06,3.33,59.32,0.24,1.91,35.5524,39.6201,1364.885428
13,18.18,2.02,2.85,24.81,1.17,1.84,47.014,30.3769,1100.000817
14,12.1,1.42,4.1,63.71,0.09,2.12,60.8923,14.0223,1166.029442
15,14.68,1.47,2.21,46.02,1.27,1.67,58.0418,32.8586,2717.328863
16,9.23,0.81,2.85,69.48,0.69,1.87,39.9325,38.8061,511.6087695
17,14.0,1.65,3.83,57.35,1.12,2.32,35.8039,56.6031,2249.128389
18,10.24,0.88,2.96,30.03,0.43,1.48,-2.3869,61.1435,555.8489343
19,15.74,1.2,2.78,40.0,1.49,2.25,2.4214,42.9106,2630.724009
20,13.29,1.15,3.04,93.47,0.3,1.94,30.1931,61.9733,28.42357329
21,16.57,1.85,2.52,32.16,1.43,1.78,38.7372,52.6523,1822.997389
22,17.05,1.69,3.64,47.87,1.17,2.34,32.6074,48.4084,3907.976463
23,15.97,1.37,2.88,69.75,0.9,1.81,16.56,45.9392,1350.341147
24,16.37,1.34,2.67,48.01,1.28,2.16,25.9383,35.3272,3545.451691
25,10.52,1.07,4.31,39.33,0.13,2.18,38.6104,36.7643,1092.833803
26,10.84,0.58,2.64,44.3,0.41,1.41,-7.0753,67.3638,1386.661653
27,11.72,1.17,3.87,51.55,0.71,2.39,69.8783,48.3884,1750.080154
28,11.54,1.1,4.47,37.78,0.67,2.51,44.498,53.8581,1213.281884
29,13.92,1.45,3.54,55.46,0.62,1.89,41.807,34.4791,2252.847709
30,17.02,1.92,3.08,41.88,1.26,2.06,51.8611,24.6524,3426.72069
31,16.33,1.5,1.85,26.94,1.44,1.18,24.3258,46.8948,1072.505415
32,16.55,1.63,2.99,50.06,0.88,1.68,43.0584,21.2452,3597.238553
33,15.39,1.47,3.27,39.65,0.84,2.01,-2.3047,58.0383,2365.930235
34,13.64,1.38,3.01,50.78,0.86,2.12,41.6616,37.9424,2350.805045
35,12.77,1.62,2.77,26.3,1.73,2.01,43.7575,34.0245,617.0719968
36,16.75,1.81,2.99,52.38,0.66,1.77,33.1117,26.4639,3613.273523
37,13.13,0.92,3.76,30.93,0.67,2.18,2.0567,58.4162,928.2848776
38,20.67,1.95,3.16,46.83,2.44,2.82,86.8878,18.2623,7141.265029
39,20.11,1.72,2.83,27.93,1.53,2.1,84.27,12.8063,2062.783229
40,9.7,1.13,3.32,46.81,0.44,1.98,38.8293,11.6871,1261.443836
41,13.48,1.48,2.9,55.11,0.61,1.82,45.7906,37.6982,2135.69704
42,17.47,1.58,2.84,49.93,2.13,2.3,47.8232,54.9844,4482.698752
43,14.21,1.51,3.74,68.15,0.74,2.34,77.863,43.3605,1195.5227
44,11.68,0.96,3.87,43.81,0.64,2.09,42.4833,34.5599,1584.915142
45,18.12,1.57,2.92,59.13,1.35,2.24,88.4083,17.035,3841.64321
46,15.88,1.66,3.41,57.2,0.68,2.06,37.6253,45.5189,2862.10162
47,13.84,1.23,3.07,38.37,1.33,2.22,22.3914,36.1792,1829.05814
48,15.1,1.46,3.32,84.17,0.97,2.22,13.8777,52.1607,203.1434107
49,13.97,1.06,3.28,52.06,0.95,1.97,85.0864,31.8806,2435.143521
50,14.39,1.18,3.04,25.38,1.45,1.99,39.4648,52.4566,679.3660304
51,21.0,1.94,2.32,58.72,1.14,1.84,44.2622,37.5067,5870.549942
52,15.79,1.31,2.18,54.5,0.93,1.41,32.7773,40.4912,3064.860477
53,10.66,1.3,3.68,68.09,1.38,2.52,49.1573,28.0151,753.2658793
54,15.53,1.19,1.92,44.57,1.1,1.48,49.2408,28.4969,2915.495228
55,13.49,1.38,2.56,52.76,1.42,2.01,82.7752,22.7639,2355.165207
56,11.8,1.16,3.43,93.39,0.25,1.9,42.1647,42.916,23.27379484
57,10.1,0.36,3.6,38.75,0.08,1.89,34.6113,51.0219,977.1241751
58,12.89,1.12,2.96,43.09,0.71,1.9,43.6923,30.6759,1862.412859
59,15.94,1.26,2.65,31.6,1.76,2.02,41.2021,54.5061,1602.512677
60,18.79,1.88,3.35,36.03,1.73,2.24,77.1537,24.285,3394.83831
61,14.8,1.57,3.93,57.05,0.31,2.32,36.2313,41.1054,2396.736054
62,12.38,0.79,3.96,78.95,0.19,2.27,40.3705,32.3982,271.5543005
63,10.27,0.79,3.33,49.05,0.73,2.25,29.6628,19.3756,1414.64051
64,14.22,0.99,2.66,29.89,1.16,2.02,5.8605,60.7893,1024.964113
65,14.76,1.09,3.07,48.28,0.34,1.81,40.3428,47.2485,2620.978391
66,12.77,0.98,3.75,55.11,0.41,2.36,37.3475,38.1151,1876.074031
67,12.94,1.32,3.94,57.12,0.39,2.21,41.7058,40.0729,1830.195003
68,17.72,1.66,1.39,36.25,2.15,1.93,47.6151,42.4941,3022.514331
69,13.66,0.64,3.2,61.53,0.6,2.12,41.1602,23.9685,1672.257011
70,12.87,0.89,2.72,52.21,0.64,1.81,39.2881,34.9586,2024.243018
71,14.6,1.28,3.29,55.24,0.8,2.24,49.5049,44.6159,2516.231896
72,15.64,1.26,3.25,51.26,0.98,2.3,-10.0,44.9571,3135.019039
73,14.92,1.83,2.8,49.06,1.0,1.78,33.2335,45.3039,2887.052155
74,16.39,1.25,2.59,54.21,1.75,2.3,37.1886,27.4182,3555.742737
